refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
ERR1046065	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046066	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046067	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046068	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046069	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046070	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046071	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046072	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046073	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046074	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046075	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046076	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046077	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046078	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046079	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046080	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046081	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046082	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046083	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046084	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046085	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046086	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046087	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1046088	ERP009868								DANIO_RERIO	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069055	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069056	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069057	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069058	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069059	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
ERR1069060	ERP009868								DANIO_RERIO	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	311	Tximport	v1.22.12-hotfix				SRA				Danio rerio	
